ym,fedfunds,mortgage30us,cpiaucsl,unrate
2000-01,5.45,8.25,169.3,4.0
2000-02,5.73,8.31,170.0,4.1
2000-03,5.85,8.23,171.0,4.0
2000-04,6.02,8.13,170.9,3.8
2000-05,6.27,8.62,171.2,4.0
2000-06,6.53,8.22,172.2,4.0
2000-07,6.54,8.13,172.7,4.0
2000-08,6.5,7.99,172.7,4.1
2000-09,6.52,7.88,173.6,3.9
2000-10,6.51,7.68,173.9,3.9
2000-11,6.51,7.73,174.2,3.9
2000-12,6.4,7.13,174.6,3.9
2001-01,5.98,7.15,175.6,4.2
2001-02,5.49,7.12,176.0,4.2
2001-03,5.31,6.91,176.1,4.3
2001-04,4.8,7.12,176.4,4.4
2001-05,4.21,7.2,177.3,4.3
2001-06,3.97,7.11,177.7,4.5
2001-07,3.77,7.03,177.4,4.6
2001-08,3.65,6.92,177.4,4.9
2001-09,3.07,6.72,178.1,5.0
2001-10,2.49,6.64,177.6,5.3
2001-11,2.09,7.02,177.5,5.5
2001-12,1.82,7.16,177.4,5.7
2002-01,1.73,6.96,177.7,5.7
2002-02,1.74,6.81,178.0,5.7
2002-03,1.73,7.18,178.5,5.7
2002-04,1.75,6.88,179.3,5.9
2002-05,1.75,6.76,179.5,5.8
2002-06,1.75,6.55,179.6,5.8
2002-07,1.73,6.34,180.0,5.8
2002-08,1.74,6.22,180.5,5.7
2002-09,1.75,5.99,180.8,5.7
2002-10,1.75,6.31,181.2,5.7
2002-11,1.34,6.13,181.5,5.9
2002-12,1.24,5.93,181.8,6.0
2003-01,1.24,5.9,182.6,5.8
2003-02,1.26,5.79,183.6,5.9
2003-03,1.25,5.91,183.9,5.9
2003-04,1.26,5.79,183.2,6.0
2003-05,1.26,5.31,182.9,6.1
2003-06,1.22,5.24,183.1,6.3
2003-07,1.01,5.94,183.7,6.2
2003-08,1.03,6.32,184.5,6.1
2003-09,1.01,5.98,185.1,6.1
2003-10,1.01,5.94,184.9,6.0
2003-11,1.0,5.89,185.0,5.8
2003-12,0.98,5.85,185.5,5.7
2004-01,1.0,5.68,186.3,5.7
2004-02,1.01,5.58,186.7,5.6
2004-03,1.0,5.4,187.1,5.8
2004-04,1.0,6.01,187.4,5.6
2004-05,1.0,6.32,188.2,5.6
2004-06,1.03,6.25,188.9,5.6
2004-07,1.26,6.08,189.1,5.5
2004-08,1.43,5.82,189.2,5.4
2004-09,1.61,5.72,189.8,5.4
2004-10,1.76,5.64,190.8,5.5
2004-11,1.93,5.72,191.7,5.4
2004-12,2.16,5.81,191.7,5.4
2005-01,2.28,5.66,191.6,5.3
2005-02,2.5,5.69,192.4,5.4
2005-03,2.63,6.04,193.1,5.2
2005-04,2.79,5.78,193.7,5.2
2005-05,3.0,5.65,193.6,5.1
2005-06,3.04,5.53,193.7,5.0
2005-07,3.26,5.77,194.9,5.0
2005-08,3.5,5.77,196.1,4.9
2005-09,3.62,5.91,198.8,5.0
2005-10,3.78,6.15,199.1,5.0
2005-11,4.0,6.28,198.1,5.0
2005-12,4.16,6.22,198.1,4.9
2006-01,4.29,6.12,199.3,4.7
2006-02,4.49,6.26,199.4,4.8
2006-03,4.59,6.35,199.7,4.7
2006-04,4.79,6.58,200.7,4.7
2006-05,4.94,6.62,201.3,4.6
2006-06,4.99,6.78,201.8,4.6
2006-07,5.24,6.72,202.9,4.7
2006-08,5.25,6.44,203.8,4.7
2006-09,5.25,6.31,202.8,4.5
2006-10,5.25,6.4,201.9,4.4
2006-11,5.25,6.14,202.0,4.5
2006-12,5.24,6.18,203.1,4.4
2007-01,5.25,6.25,203.437,4.6
2007-02,5.26,6.22,204.226,4.5
2007-03,5.26,6.16,205.288,4.4
2007-04,5.25,6.16,205.904,4.5
2007-05,5.25,6.42,206.755,4.4
2007-06,5.25,6.67,207.234,4.6
2007-07,5.26,6.69,207.603,4.7
2007-08,5.02,6.45,207.667,4.6
2007-09,4.94,6.42,208.547,4.7
2007-10,4.76,6.33,209.19,4.7
2007-11,4.49,6.1,210.834,4.7
2007-12,4.24,6.17,211.445,5.0
2008-01,3.94,5.68,212.174,5.0
2008-02,2.98,6.24,212.687,4.9
2008-03,2.61,5.85,213.448,5.1
2008-04,2.28,6.03,213.942,5.0
2008-05,1.98,6.08,215.208,5.4
2008-06,2.0,6.45,217.463,5.6
2008-07,2.01,6.52,219.016,5.8
2008-08,2.0,6.4,218.69,6.1
2008-09,1.81,6.09,218.877,6.1
2008-10,0.97,6.46,216.995,6.5
2008-11,0.39,5.97,213.153,6.8
2008-12,0.16,5.1,211.398,7.3
2009-01,0.15,5.1,211.933,7.8
2009-02,0.22,5.07,212.705,8.3
2009-03,0.18,4.85,212.495,8.7
2009-04,0.15,4.78,212.709,9.0
2009-05,0.18,4.91,213.022,9.4
2009-06,0.21,5.42,214.79,9.5
2009-07,0.16,5.25,214.726,9.5
2009-08,0.16,5.14,215.445,9.6
2009-09,0.15,5.04,215.861,9.8
