Variable,Coef,StdErr,p_value
const,-0.01919677460227079,0.007796889416168309,0.013817624622513514
FEDFUNDS_LAG1,-0.0051327897861613596,0.0008851928520578206,6.7544203682918995e-09
FEDFUNDS_LAG3,0.002637339903739111,0.0009009857906739952,0.003423028120660931
FEDFUNDS_LAG12,0.0010545770436701106,0.0009160930950117485,0.24967180063413386
MORTGAGE30US,0.0024497559525214012,0.0008023761303700151,0.002266576197226963
UNRATE,0.003162935339501812,0.0010666603158976436,0.0030264264252819746
INFLATION_RATE,0.000480924318376373,0.0003182122809453732,0.13071390359284848
lag_return_1m,-0.024648847023905695,0.005618873851299663,1.1540324174305416e-05
lag_return_3m,0.025614992531059703,0.005646531296559398,5.742863224981149e-06
log_market_cap,0.0012414010459180502,0.00033834083565251503,0.00024381876894110591
